id	output
{"address":"0x65f1AE40b0C34fA6BAC1D085944749E35Ff4AaD2","chainId":56}	{"name": "DREAM FINANCE X", "symbol": "XDF", "decimals": 18}
{"address":"0x6743665257C429605aa344ed04dFF7A183A50296","chainId":56}	{"name": "QJ", "symbol": "QJ", "decimals": 9}
{"address":"0xd07E744A7fDc7f4d7397AA50d1C195b9ca831F73","chainId":56}	{"name": "Pukka", "symbol": "PUK", "decimals": 18}
{"address":"0x4E12301c753569F7160184E7a5709e9282FF32B2","chainId":56}	{"name": "STARSHIPBNB", "symbol": "SSB", "decimals": 9}
{"address":"0xA34A226ECC8049B48be0daA7ce29CC98927BCe99","chainId":56}	{"name": "Bubla Coin", "symbol": "Bubla", "decimals": 18}
{"address":"0x9e3943E0De40facCFb429479cC8b2Fc7Dce99De8","chainId":56}	{"name": "Cute Moon", "symbol": "CUTEMOON", "decimals": 9}
{"address":"0x8Ea7da820322767D6dD6Af9b34F8b7C6aC9aD21c","chainId":56}	{"name": "TalkAI", "symbol": "TALKAI", "decimals": 18}
{"address":"0x06507cE13a708d008767A17784491f7796c662D3","chainId":56}	{"name": "TEMPLATE_NAME", "symbol": "TEMPLATE_SYMBOL", "decimals": 4}
{"address":"0xf7DE7E8A6bd59ED41a4b5fe50278b3B7f31384dF","chainId":56}	{"name": "Radiant", "symbol": "RDNT", "decimals": 18}
{"address":"0x8B939b6220A54Db5E5919C89D685c4deb48a8373","chainId":56}	{"name": "BALBOA DIGI CLUB", "symbol": "BALDC", "decimals": 18}
{"address":"0x37a56cdcD83Dce2868f721De58cB3830C44C6303","chainId":56}	{"name": "ZEBEC", "symbol": "ZBC", "decimals": 9}
{"address":"0x02b6F3E1A668157B85b65c4Ff8dDC4EAC66c9F2a","chainId":56}	{"name": "McFLOKI", "symbol": "McFLOKI", "decimals": 18}
{"address":"0x854A63B35B70A7becbED508ff0b6Ff5038D0C917","chainId":56}	{"name": "Minato", "symbol": "MNTO", "decimals": 18}
{"address":"0xcB16Bf2C0B32Db660439BDBC9A452189A26D9532","chainId":56}	{"name": "Reality Metaverse", "symbol": "RLTM", "decimals": 18}
{"address":"0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e","chainId":56}	{"name": "XEN Crypto", "symbol": "bXEN", "decimals": 18}
{"address":"0x04E725d504A46cA0AC545b8960125c1863e7a674","chainId":56}	{"name": "ccx NETWORK", "symbol": "ccx", "decimals": 6}
{"address":"0xCF49E609F445e8db30f96e0b94644f5E8334B007","chainId":56}	{"name": "NutCoin", "symbol": "NUT", "decimals": 18}
{"address":"0x627893B8CDdde5728FB003fd7150710AA8395092","chainId":56}	{"name": "Broski", "symbol": "BRSK", "decimals": 18}
{"address":"0x6ddD36F6c7C021eBf7D4b9753537d7BCa8ed4e37","chainId":56}	{"name": "Hamster Groomers", "symbol": "GROOMER", "decimals": 18}
{"address":"0xfC56f4512e5502001Eac49eC45B9a671419cdAf9","chainId":56}	{"name": "ON Token", "symbol": "ON", "decimals": 9}
{"address":"0x14e4F98538b93a18E39C62619901d5927c3004B8","chainId":56}	{"name": "Grow Token", "symbol": "GWT", "decimals": 18}
{"address":"0x7CDCed5524b399986C25d0273498e1976Ead4706","chainId":56}	{"name": "FT2", "symbol": "FT2", "decimals": 9}
{"address":"0xe632000238Abd0C7c95c116C47bBcc036eCd98EE","chainId":56}	{"name": "Grand Tourer", "symbol": "GT", "decimals": 8}
